Designator,Mid X,Mid Y,Layer,Rotation
C1,200.66,-34.29,T,90.0
C10,175.26,-34.29,T,90.0
C11,80.645,-39.37,T,90.0
C12,67.945,-33.782,T,90.0
C2,149.86,-44.45,T,270.0
C3,144.78,-31.75,T,90.0
C4,52.07,-33.02,T,180.0
C5,162.56,-39.37,T,90.0
C6,106.045,-38.1,T,90.0
C7,187.96,-39.37,T,90.0
C8,105.41,-30.48,T,180.0
C9,93.345,-34.29,T,90.0
D1,195.58,-52.705,T,180.0
D2,176.53,-52.705,T,180.0
D3,157.48,-52.705,T,180.0
D4,91.44,-52.705,T,0.0
D5,72.39,-52.705,T,0.0
D6,53.34,-52.705,T,0.0
J10,157.48,-46.99,T,0.0
J11,91.44,-46.99,T,0.0
J12,72.47,-29.21,T,0.0
J13,53.42,-29.21,T,0.0
J14,72.39,-46.99,T,0.0
J15,53.34,-46.99,T,0.0
J16,114.3,-31.75,T,180.0
J17,124.46,-31.75,T,180.0
J18,134.62,-31.75,T,180.0
J19,212.09,-40.64,T,270.0
J20,36.83,-40.64,T,270.0
J3,195.66,-29.21,T,0.0
J5,176.61,-29.21,T,0.0
J6,157.56,-29.21,T,0.0
J7,91.52,-29.21,T,0.0
J8,195.58,-46.99,T,0.0
J9,176.53,-46.99,T,0.0
R1,81.915,-52.705,T,0.0
R10,62.865,-52.705,T,0.0
R11,73.66,-44.45,T,0.0
R12,54.61,-44.45,T,0.0
R14,105.41,-48.895,T,270.0
R2,186.055,-52.705,T,180.0
R3,167.005,-52.705,T,180.0
R4,151.13,-52.705,T,180.0
R5,100.965,-52.705,T,0.0
R6,196.85,-44.45,T,0.0
R7,177.8,-44.45,T,0.0
R8,158.75,-44.45,T,0.0
R9,92.71,-44.45,T,0.0
U1,181.61,-36.83,T,180.0
U10,61.595,-36.83,T,0.0
U2,194.31,-36.83,T,0.0
U3,50.165,-38.735,T,270.0
U4,144.78,-48.26,T,270.0
U5,156.21,-36.83,T,180.0
U6,168.91,-36.83,T,0.0
U7,74.295,-36.83,T,180.0
U8,86.995,-36.83,T,0.0
U9,99.695,-36.83,T,180.0
